축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
[SEMI 예천곤충엑스포] 2022예천곤충축제,곤충생태원+예천읍시가지,2022-08-06,2022-08-15,살아있는 곤충세상 속으로+전시체험+공식행사+학술행사+연계행사,(재)예천문화관광재단,경상북도 예천군,문화체육관광부+경상북도+경상북도 예천군,054-650-6037,http://www.insect-expo.org/,,경상북도 예천군 효자면 은풍로 1045,경상북도 예천군 효자면 고항리 577,36.82443597,128.4586463,2022-09-08,5230000,경상북도 예천군
용궁순대축제,용궁면,2022-08-13,2022-08-14,용궁순대 시식회+체험프로그램+연계행사,예천용궁순대축제추진위원회,경상북도 예천군,경상북도+경상북도 예천군,054-650-6276,https://www.ycg.kr/open.content/tour/festivals/sundae/,,,경상북도 예천군 용궁면 읍부리 175-4,36.6063001748,128.2769007944,2022-09-08,5230000,경상북도 예천군
삼강주막나루터축제,예천삼강문화단지,2022-09-10,2022-09-12,체험 및 소풍 프로그램+무대공연+원도심 연계프로그램,예천문화사업단,경상북도 예천군,경상북도+경상북도 예천군,054-650-6912,https://www.ycg.kr/open.content/tour/festivals/samgang/,,경상북도 예천군 풍양면 삼강리길 33,경상북도 예천군 풍양면 삼강리 145,36.5638901566,128.2992955068,2022-09-08,5230000,경상북도 예천군
예천장터농산물대축제,한천체육공원,2022-10-14,2022-10-16,지역 우수농산물 홍보 및 판매+무대공연+체험프로그램,예천농산물축제추진위원회,경상북도 예천군,경상북도 예천군,054-650-6271,https://www.ycg.kr/open.content/tour/festivals/farm.produce/,,,경상북도 예천군 예천읍 남본리 310-1,36.6481023527,128.4492109274,2022-09-08,5230000,경상북도 예천군
봉화은어축제,봉화읍 내성천 일원,2022-07-30,2022-08-07,은어반두잡이+맨손잡이 체험 등,(재)봉화축제관광재단,경상북도 봉화군,,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화은어축제,,경북 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2022-09-05,5240000,경상북도 봉화군
봉화송이축제,봉화읍 내성천 일원,2022-09-30,2022-10-03,송이채취+시식회 등,(재)봉화축제관광재단,경상북도 봉화군,,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화송이축제,,경북 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2022-09-05,5240000,경상북도 봉화군
김천국제가족연극제,김천문화예술회관,2022-07-29,2022-08-07,연극공연,김천국제가족연극제추진위원회,경상북도 김천시청,,054-439-8245,www.gitf.co.kr,,경상북도 김천시 운동장길 3 김천문화예술회관,,36.13824055,128.088634,2022-08-22,5060000,경상북도 김천시
(22년 일정 미정)하남이성산성문화축제,미사호수공원 등,2023-01-01,2023-01-01,음악공연+체험행사+온라인 이벤트,하남문화재단,하남문화재단,,031-790-7979,www.hnart.or.kr,하남시 일대,경기도 하남시 신평로 125,경기도 하남시 덕풍동 694,,,2022-08-31,4040000,경기도 하남시
제17회 시흥갯골축제,시흥갯골생태공원,2022-09-23,2022-09-25,시흥갯골 축제(세상에서 가장 큰 생태예술놀이터),경기도 시흥시청,경기도 시흥시청,,031-310-2916,,,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,37.38979099,126.7812554,2022-09-01,4010000,경기도 시흥시
춘천연극제,봄내극장+석사천,2022-06-15,2022-10-29,코미디경연작+초청작+소소연극제+가족극+살롱연극+거리공연,(사)춘천연극제,(사)춘천연극제,강원도 춘천시청,033-241-4345,http://www.citf.or.kr/,,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.882374,127.731370,2022-08-26,4180000,강원도 춘천시
